model_id,model_type,dataset_type,station,file_path,base_path,test_rmse,model_size_mb
lstm_separate_前金_C0V690_combined_windows,lstm,separate,前金_C0V690_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_前金_C0V690_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_前金_C0V690_combined_windows,,0.9
lstm_separate_前鎮_C0V490_combined_windows,lstm,separate,前鎮_C0V490_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_前鎮_C0V490_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_前鎮_C0V490_combined_windows,3.14881714648984,0.07
lstm_separate_前鎮_C0V490_combined_windows,lstm,separate,前鎮_C0V490_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_前鎮_C0V490_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_前鎮_C0V490_combined_windows,,0.9
lstm_separate_南投_C0I460_combined_windows,lstm,separate,南投_C0I460_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_南投_C0I460_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_南投_C0I460_combined_windows,2.30959300071157,0.07
lstm_separate_南投_C0I460_combined_windows,lstm,separate,南投_C0I460_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_南投_C0I460_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_南投_C0I460_combined_windows,,0.9
lstm_separate_屏東_C0R570_combined_windows,lstm,separate,屏東_C0R570_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_屏東_C0R570_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_屏東_C0R570_combined_windows,2.85924261260418,0.07
lstm_separate_屏東_C0R570_combined_windows,lstm,separate,屏東_C0R570_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_屏東_C0R570_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_屏東_C0R570_combined_windows,,0.9
lstm_separate_恆春_B2Q810_combined_windows,lstm,separate,恆春_B2Q810_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_恆春_B2Q810_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_恆春_B2Q810_combined_windows,2.76124761327237,0.07
lstm_separate_恆春_B2Q810_combined_windows,lstm,separate,恆春_B2Q810_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_恆春_B2Q810_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_恆春_B2Q810_combined_windows,,0.91
lstm_separate_美濃_72V140_combined_windows,lstm,separate,美濃_72V140_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_美濃_72V140_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_美濃_72V140_combined_windows,2.66268966128088,0.07
