station,lstm_best_rmse,lstm_model_count,lstm_best_model,lstm_dataset_type,lstm_rank,lgbm_best_rmse,lgbm_model_count,lgbm_best_model,lgbm_dataset_type,lgbm_rank,combined_score,overall_rank
大園_C0C590_combined_windows,2.97695876119053,1,lstm_separate_大園_C0C590_combined_windows,separate,97,2.86548470235699,1,lgbm_separate_大園_C0C590_combined_windows,separate,91,0.342447192436609,93
古亭_C0AH10_combined_windows,2.90420663350023,1,lstm_separate_古亭_C0AH10_combined_windows,separate,93,2.94036150969664,1,lgbm_separate_古亭_C0AH10_combined_windows,separate,96,0.342211176038373,94
楠梓_C0V770_combined_windows,2.95314279814551,1,lstm_separate_楠梓_C0V770_combined_windows,separate,95,2.97345396792614,1,lgbm_separate_楠梓_C0V770_combined_windows,separate,100,0.337465761472938,95
恆春_B2Q810_combined_windows,2.76124761327237,1,lstm_separate_恆春_B2Q810_combined_windows,separate,85,3.22057466434955,1,lgbm_separate_恆春_B2Q810_combined_windows,separate,116,0.336329362864093,96
汐止_C0AH00_combined_windows,2.99203529486592,1,lstm_separate_汐止_C0AH00_combined_windows,separate,98,2.96216424863478,1,lgbm_separate_汐止_C0AH00_combined_windows,separate,97,0.335905829705538,97
士林_C0AI40_combined_windows,2.9691382083359,1,lstm_separate_士林_C0AI40_combined_windows,separate,96,2.99280073187656,1,lgbm_separate_士林_C0AI40_combined_windows,separate,102,0.335466620067332,98
麥寮_A2K360_combined_windows,3.09139387957686,1,lstm_separate_麥寮_A2K360_combined_windows,separate,103,2.90931783431151,1,lgbm_separate_麥寮_A2K360_combined_windows,separate,95,0.333600931978637,99
觀音_467050_combined_windows,3.06298889084596,1,lstm_separate_觀音_467050_combined_windows,separate,100,2.97014902773665,1,lgbm_separate_觀音_467050_combined_windows,separate,99,0.331580968315352,100
仁武_C0V680_combined_windows,3.0348542993865,1,lstm_separate_仁武_C0V680_combined_windows,separate,99,3.00462323005579,1,lgbm_separate_仁武_C0V680_combined_windows,separate,103,0.331162770803606,101
菜寮_C0AD30_combined_windows,3.07691880993472,1,lstm_separate_菜寮_C0AD30_combined_windows,separate,101,2.98822351511682,1,lgbm_separate_菜寮_C0AD30_combined_windows,separate,101,0.32982371955065,102
永和_C0AH10_combined_windows,3.12220036449412,1,lstm_separate_永和_C0AH10_combined_windows,separate,106,3.02810155094543,1,lgbm_separate_永和_C0AH10_combined_windows,separate,104,0.325263427569043,103
左營_C0V810_combined_windows,3.14608709693124,1,lstm_separate_左營_C0V810_combined_windows,separate,108,3.05022622841595,1,lgbm_separate_左營_C0V810_combined_windows,separate,105,0.322849844789788,104
前金_C0V690_combined_windows,3.0966134429559,1,lstm_separate_前金_C0V690_combined_windows,separate,104,3.13952684424281,1,lgbm_separate_前金_C0V690_combined_windows,separate,108,0.320726381995481,105
馬祖_467990_combined_windows,3.08322983271826,1,lstm_separate_馬祖_467990_combined_windows,separate,102,3.20362862190856,1,lgbm_separate_馬祖_467990_combined_windows,separate,114,0.318240627645786,106
前鎮_C0V490_combined_windows,3.14881714648984,1,lstm_separate_前鎮_C0V490_combined_windows,separate,109,3.14361979029353,1,lgbm_separate_前鎮_C0V490_combined_windows,separate,110,0.317842099101278,107
二林_C0G730_combined_windows,3.24124240564321,1,lstm_separate_二林_C0G730_combined_windows,separate,112,3.06570571131368,1,lgbm_separate_二林_C0G730_combined_windows,separate,106,0.317356419403214,108
